"id","Neighborhood","Borough","Population_2017","Per_Capita_Income_2017","Median_Income_2017","Mean_Travel_Time_Work_2017","Unemployment_Rate_2017"
1,"Airport","Queens",0,0,0,0,0
2,"Allerton-Pelham Gardens","The Bronx",26656,24908,59992,42.7,6.1
3,"Annandale","Staten Island",23671,39343,92853,45.8,2.8
4,"Arden Heights","Staten Island",21150,35060,84490,46.1,3.4
5,"Astoria-Long Island City","Queens",46185,33825.5,57270,38.15,5.25
6,"Auburndale","Queens",17073,32589,74862,44.1,3.8
7,"Baisley Park","Queens",31094,23032,62609,47,6.9
8,"Bath Beach","Brooklyn",26855,26894,58243,49.8,4.2
9,"Bay Ridge","Brooklyn",65479,37096,63539,43.4,4.8
10,"Baychester","The Bronx",28159,22667,50231,47.5,6.5
11,"Bayside","Queens",37551,35575,81794,41.2,3.8
12,"Bedford Park","The Bronx",42293,17447,33643,41.7,9.5
13,"Bedford-Stuyvesant","Brooklyn",54487.5,23185,40619.5,41.45,8.3
14,"Bellerose","Queens",21707,28020,74950,42.7,3.4
15,"Belmont","The Bronx",22085,12279,24727,38.3,7.7
16,"Bensonhurst","Brooklyn",63663.5,23484,49566,45.8,5.3
17,"Bloomfield-Chelsea-Travis","Staten Island",33186,31938,76123,41.3,3.6
18,"Boerum Hill","Brooklyn",35416,58014,94542,34.9,6.3
19,"Borough Park","Brooklyn",67904,15730,36893,34.7,3.3
20,"Briarwood-Jamaica Hills","Queens",35221,27311,62588,45.2,7
21,"Brighton Beach","Brooklyn",28462,25916,35699,44.8,4.2
22,"Bronxdale","The Bronx",30046,18053,35431,44.4,8.3
23,"Brownsville","Brooklyn",45400,15543,24504,48.5,7.9
24,"Bushwick","Brooklyn",54731,20917,43109,40.35,8.85
25,"Cambria Heights","Queens",16620,31578,82100,48,4.3
26,"Canarsie","Brooklyn",70724,25790,62263,49.4,5.6
27,"Carroll Gardens","Brooklyn",27794.5,71343,103973,33.8,4.25
28,"Charlestown-Richmond Valley","Staten Island",19291,36496,86645,41.1,3.7
29,"Chelsea","Manhattan",69699,103883,109092,26.2,3.9
30,"Chinatown","Manhattan",40184,31310,38854,31.4,4.9
31,"Claremont-Bathgate","The Bronx",24213,10561,21369,47,8.5
32,"Clearview","Queens",18858,42232,76137,41,3.5
33,"Clifton","Staten Island",17145,26496,55814,46.8,4.9
34,"Clinton","Manhattan",41934,73920,81845,27.3,4.6
35,"Clinton Hill","Brooklyn",31989,40323,72799,37.4,5.7
36,"Co-op City","The Bronx",40935,24876,46492,50.1,6.1
37,"College Point","Queens",20643,23845,55021,40.9,3.9
38,"Coney Island","Brooklyn",23598,20054,26033,48.4,8.7
39,"Corona","Queens",42836.5,16229.5,46403.5,43,4.15
40,"Country Club","The Bronx",22024,34028,64636,38.8,4.5
41,"Crotona Park East","The Bronx",16206,14626,22538,43.5,9.5
42,"Crown Heights North","Brooklyn",87976,24780,40678,42.2,6
43,"Crown Heights South","Brooklyn",32922,22297,46357,39.7,8.3
44,"Cypress Hills-City Line","Brooklyn",38106,17271,45720,43.9,4.6
45,"Douglastown-Little Neck","Queens",21420,39829,83413,40.1,3.4
46,"Dyker Heights","Brooklyn",36996,25712,56310,43.8,5.1
47,"East Concourse-Concourse Village","The Bronx",49034,15930,28772,40.2,7.5
48,"East Elmhurst","Queens",17586,19854,48362,43.4,4.9
49,"East Harlem","Manhattan",49140,26203.5,32071.5,34.6,5.85
50,"East New York","Brooklyn",71139,17994,35656,46.2,6.5
51,"East New York (Pennsylvania Ave)","Brooklyn",21926,16024,29183,45.5,9
52,"East Village","Manhattan",41068,58293,73965,29.4,3.8
53,"Elmhurst","Queens",68715,20498,44367,42.3,4
54,"Elmhurst-Maspeth","Queens",22258,23197,56797,40.2,3.4
55,"Erasmus","Brooklyn",22701,21019,42858,46.5,6.3
56,"Financial District","Manhattan",39203,96422,134266,25.1,3.1
57,"Flatbush","Brooklyn",64162,23671,51051.5,43.75,5.3
58,"Flushing","Queens",41605.5,21977.5,43182,41.15,3.4
59,"Fordham","The Bronx",20825,13047,23992,43,9
60,"Forest Hills","Queens",71980,43690,70278,42.3,3.7
61,"Fort Green","Brooklyn",25298,39825,59907,35.8,6.7
62,"Georgetown-Marine Park-Bergen Beach-Mill Basin","Brooklyn",37709,36128,80660,41.6,4.5
63,"Glen Oaks-Floral Park-New Hyde Park","Queens",20313,40345,84340,39.1,3.5
64,"Glendale","Queens",28072,29723,70509,37.8,4
65,"Gramercy","Manhattan",26343,92015,116266,24,4.4
66,"Grasmere-Arrochar-Ft. Wadsworth","Staten Island",12686,31394,74103,41.3,4.8
67,"Gravesend-Sheepshead Bay","Brooklyn",39912,26534.5,46472,46.3,5.95
68,"Great Kills","Staten Island",35958,36323,91161,45.3,4.7
69,"Greenpoint","Brooklyn",30264,43723,74283,36.8,4.2
