Neighborhood,Borough,Population_2017,Per_Capita_Income_2017,Median_Income_2017,Mean_Travel_Time_Work_2017,Unemployment_Rate_2017
Allerton-Pelham Gardens,The Bronx,26656,24908.0,59992.0,42.7,6.1
Bedford Park,The Bronx,42293,17447.0,33643.0,41.7,9.5
Belmont,The Bronx,22085,12279.0,24727.0,38.3,7.7
Bronxdale,The Bronx,30046,18053.0,35431.0,44.4,8.3
Claremont-Bathgate,The Bronx,24213,10561.0,21369.0,47.0,8.5
Co-op City,The Bronx,40935,24876.0,46492.0,50.1,6.1
Crotona Park East,The Bronx,16206,14626.0,22538.0,43.5,9.5
East Concourse-Concourse Village,The Bronx,49034,15930.0,28772.0,40.2,7.5
Tremont,The Bronx,33134,12322.0,22130.0,44.3,12.1
Baychester,The Bronx,28159,22667.0,50231.0,47.5,6.5
Fordham,The Bronx,20825,13047.0,23992.0,43.0,9.0
High Bridge,The Bronx,28547,14230.0,26281.0,40.8,7.2
Hunts Point,The Bronx,19678,11881.0,22679.0,44.6,5.3
Kings Bridge Heights,The Bronx,24395,16775.0,32458.0,44.4,8.5
Longwood,The Bronx,21290,12564.0,25381.0,43.2,5.6
Mott Haven,The Bronx,30880,14379.0,24693.0,41.9,7.3
Morrisania-Melrose,The Bronx,30392,15083.0,27931.0,42.9,6.4
Mott Haven,The Bronx,39844,12398.0,21469.0,42.0,6.9
Mount Hope,The Bronx,40169,13443.0,26762.0,40.9,8.7
Riverdale,The Bronx,22410,46209.0,85783.0,43.4,4.3
Norwood,The Bronx,32074,16648.0,32396.0,44.7,9.2
park-cemetery-etc-Bronx,The Bronx,1414,26998.0,47979.0,30.5,6.0
Parkchester,The Bronx,24963,25195.0,50466.0,48.3,8.6
Country Club,The Bronx,22024,34028.0,64636.0,38.8,4.5
Pelham Parkway,The Bronx,24235,28365.0,54087.0,41.1,6.9
Rikers Island,The Bronx,7503,2332.0,,,
Throggs Neck,The Bronx,38839,31055.0,69686.0,40.7,5.1
Soundview,The Bronx,28503,14966.0,29638.0,44.9,8.6
Soundview,The Bronx,44333,18612.0,35771.0,44.9,6.5
Spuyten Duyvil,The Bronx,25714,40470.0,68776.0,44.2,3.7
University Heights,The Bronx,41746,13191.0,22776.0,42.5,7.0
Van Cortlandt Village,The Bronx,40030,19886.0,42564.0,45.2,8.3
Morris Park,The Bronx,22731,20986.0,46002.0,42.0,9.1
West Concourse,The Bronx,28216,14432.0,26520.0,41.2,7.4
West Farms-Bronx River,The Bronx,27277,14513.0,29306.0,43.8,7.9
Union Port,The Bronx,22508,19809.0,43412.0,46.0,9.4
Williams Bridge,The Bronx,50582,19287.0,40791.0,45.8,10.3
Wakefield-Williamsbridge,The Bronx,35865,25921.0,57189.0,44.5,6.9
Bath Beach,Brooklyn,26855,26894.0,58243.0,49.8,4.2
Bay Ridge,Brooklyn,65479,37096.0,63539.0,43.4,4.8
Bedford-Stuyvesant,Brooklyn,54904,22480.0,39970.0,38.7,8.4
Bensonhurst,Brooklyn,52857,23274.0,48097.0,45.4,5.2
Bensonhurst,Brooklyn,74470,23694.0,51035.0,46.2,5.4
Borough Park,Brooklyn,67904,15730.0,36893.0,34.7,3.3
Brighton Beach,Brooklyn,28462,25916.0,35699.0,44.8,4.2
Carroll Gardens,Brooklyn,21110,82940.0,116189.0,31.0,2.6
Brownsville,Brooklyn,45400,15543.0,24504.0,48.5,7.9
Bushwick,Brooklyn,48546,20763.0,46485.0,39.1,9.2
Bushwick,Brooklyn,60916,21071.0,39733.0,41.6,8.5
Canarsie,Brooklyn,70724,25790.0,62263.0,49.4,5.6
Carroll Gardens,Brooklyn,34479,59746.0,91757.0,36.6,5.9
Clinton Hill,Brooklyn,31989,40323.0,72799.0,37.4,5.7
Crown Heights North,Brooklyn,87976,24780.0,40678.0,42.2,6.0
Crown Heights South,Brooklyn,32922,22297.0,46357.0,39.7,8.3
Cypress Hills-City Line,Brooklyn,38106,17271.0,45720.0,43.9,4.6
Boerum Hill,Brooklyn,35416,58014.0,94542.0,34.9,6.3
