"nname","count"
"Bedford-Stuyvesant",22
"Midtown",21
"Bushwick",19
"Fort Green",18
"Financial District",18
"Upper West Side",15
"Gravesend-Sheepshead Bay",14
"Williamsburg",14
"Harlem",14
"Mapleton-Flatlands",13
"Park Slope",13
"Washington Heights",13
"East Brooklyn",12
"South Bronx",12
"Greenwich Village",12
"Sunny Side",12
"Woodhaven-Richmond Hill",11
"Borough Park",11
"Astoria-Long Island City",11
"Chelsea",10
"Central Park",10
"Mott Haven",10
"Downtown",10
"The Rockaways",10
"Brownsville",9
"Tribeca",9
"Garment District",8
"Upper East Side",8
"Gramercy",8
"Bensonhurst",7
"Ridgewood",7
"Hamilton Heights",7
"Lower East Side",7
"Parkchester",7
"Soho",6
"Carroll Gardens",6
"Wakefield-Williamsbridge",6
"Tremont",6
"Sunset Park",6
"High Bridge",6
"Inwood",6
"Jamaica",6
"Boerum Hill",5
"Bedford Park",5
"Morris Heights",5
"Jackson Heights",5
"Woodside",5
"Williams Bridge",5
"Morris Park",5
"Soundview",4
"Bay Ridge",4
"Fordham",4
"Forest Hills",4
"Morningside Heights",4
"Murray Hill",4
"Union Port",4
"University Heights",4
"Utopia",4
"South Beach",3
"Midland Beach",3
"Clinton",3
"Little Italy",3
"East Harlem",3
"Tottensville",3
"East Village",3
"Greenwood",3
"West Village",3
"Hunts Point",3
"Yorkville",3
"Kings Bridge",2
"Nkew Gardens",2
"Oakwood",2
"Prince's Bay",2
"Great Kills",2
"Flushing",2
"Ettingville",2
"Baychester",2
"Clifton",2
"Chinatown",2
"Carnegie Hill",2
"Canarsie",2
"Annandale",1
"New Brighton",1
"Middle Village",1
"Riverdale",1
"Charlestown-Richmond Valley",1
"Eastchester",1
"Woodlawn-Nordwood",1
"Huguenot",1
"Country Club",1
"Flatbush",1
