"sname","nname_within_50"
"103rd St","Central Park"
"103rd St","Upper West Side"
"103rd St","Yorkville"
"104th St","Woodhaven-Richmond Hill"
"110th St","Central Park"
"110th St","East Harlem"
"110th St","Harlem"
"110th St","Upper West Side"
"110th St","Yorkville"
"111th St","Woodhaven-Richmond Hill"
"116th St","East Harlem"
"116th St","Harlem"
"116th St","Morningside Heights"
"121st St","Woodhaven-Richmond Hill"
"125th St","East Harlem"
"125th St","Hamilton Heights"
"125th St","Harlem"
"125th St","Morningside Heights"
"135th St","Hamilton Heights"
"135th St","Harlem"
"137th St","Hamilton Heights"
"138th St","Mott Haven"
"145th St","Hamilton Heights"
"145th St","Harlem"
"148th St","Harlem"
"149th St","Mott Haven"
"14th St","Chelsea"
"14th St","Gramercy"
"14th St","Greenwich Village"
"14th St","West Village"
"155th St","Hamilton Heights"
"155th St","Harlem"
"155th St","Washington Heights"
"157th St","Washington Heights"
"15th St","Flatbush"
"15th St","Park Slope"
"161st St","High Bridge"
"163rd St","Washington Heights"
"167th St","High Bridge"
"167th St","South Bronx"
"168th St","Washington Heights"
"169th St","Jamaica"
"169th St","Utopia"
"170th St","High Bridge"
"170th St","South Bronx"
"174th St","Morris Heights"
"174th St","South Bronx"
"174th St","Tremont"
"175th St","Washington Heights"
"176th St","Morris Heights"
"179th St","Jamaica"
"181st St","Washington Heights"
"182nd St","Tremont"
"183rd St","Tremont"
"183rd St","University Heights"
"18th Ave","Bensonhurst"
"18th Ave","Borough Park"
"18th Ave","Mapleton-Flatlands"
"18th St","Chelsea"
"190th St","Washington Heights"
"191st St","Washington Heights"
"1st Ave","East Village"
"1st Ave","Gramercy"
"205th St","Bedford Park"
"207th St","Inwood"
"20th Ave","Bensonhurst"
"20th Ave","Mapleton-Flatlands"
"215th St","Inwood"
"219th St","Wakefield-Williamsbridge"
"21st St","Astoria-Long Island City"
"21st St","Sunny Side"
"225th St","Inwood"
"225th St","Wakefield-Williamsbridge"
"231st St","Kings Bridge"
"233rd St","Wakefield-Williamsbridge"
"238th St","Kings Bridge"
"23rd St","Chelsea"
"23rd St","Gramercy"
"23rd St","Sunny Side"
"241st St","Wakefield-Williamsbridge"
"242nd St","Riverdale"
"25th Ave","Gravesend-Sheepshead Bay"
"25th St","Greenwood"
"28th St","Chelsea"
"28th St","Gramercy"
"2nd Ave","East Village"
"2nd Ave","Lower East Side"
"30th Ave","Astoria-Long Island City"
"33rd St","Gramercy"
"33rd St","Sunny Side"
"34th St","Chelsea"
"34th St","Clinton"
"34th St","Garment District"
"36th Ave","Astoria-Long Island City"
"36th St","Astoria-Long Island City"
"36th St","Greenwood"
"36th St","Sunny Side"
"36th St","Sunset Park"
"39th Ave","Astoria-Long Island City"
"3rd Ave","East Village"
"3rd Ave","Gramercy"
"3rd Ave","Greenwich Village"
"3rd Ave","Mott Haven"
"40th St","Sunny Side"
"42nd St","Clinton"
"42nd St","Garment District"
"42nd St","Midtown"
"45th Rd","Sunny Side"
"45th St","Sunset Park"
"46th St","Astoria-Long Island City"
