"nname","borough","num_stations","pop_den_change","pcinc_change","minc_change","traveltime_change","ur_change"
"Annandale","Staten Island",1,0.404545646571755,0.168670411509036,0.222674550095312,0.0327510917030568,-0.464285714285714
"Astoria-Long Island City","Queens",11,-0.387896503193678,0.192305607702275,0.19869041382923,0.0397553516819581,-0.301587301587301
"Bay Ridge","Brooklyn",4,0.0193955313917439,0.171096614190209,0.214277845103008,0.0552995391705069,-0.333333333333333
"Baychester","The Bronx",2,0.581980894207891,0.129880442934663,0.19081841890466,0.0273684210526315,-0.107692307692308
"Bedford Park","The Bronx",5,0.0143049677251554,0.134865592938614,0.18978687988586,0.11031175059952,-0.263157894736842
"Bedford-Stuyvesant","Brooklyn",22,0.235255792612985,0.427970670692258,0.389283472223932,0.00844390832328092,-0.421686746987952
"Bensonhurst","Brooklyn",7,0.243993811210505,0.0662152955203543,0.0926038009926159,-0.00655021834061129,-0.226415094339623
"Boerum Hill","Brooklyn",5,-0.169782019426248,0.315889268107698,0.286444120073618,-0.0573065902578797,-0.126984126984127
"Borough Park","Brooklyn",11,-0.483881656456173,0.103655435473617,0.131393489279809,0.0965417867435157,-0.181818181818182
"Brownsville","Brooklyn",9,-0.151035242290749,0.153059254970083,-0.166911524649037,0.0123711340206186,0.240506329113924
"Bushwick","Brooklyn",19,-0.152527817872869,0.298560979107903,0.294660047785845,0.0458488228004957,-0.564971751412429
"Canarsie","Brooklyn",2,-0.00342175216333911,0.132027917797596,0.152209177199942,0.0182186234817813,-0.410714285714286
"Carroll Gardens","Brooklyn",6,0.743582363417223,-0.103079489228095,-0.0278533850134169,0.0887573964497042,0.176470588235294
"Charlestown-Richmond Valley","Staten Island",1,-0.266756518583796,0.229230600613766,0.0489814761382653,0.0875912408759124,-0.432432432432432
"Chinatown","Manhattan",2,-0.117733426239299,-0.242829766847653,-0.307613115766716,0.0159235668789809,-0.285714285714286
"Clifton","Staten Island",2,-0.307728200641586,-0.167383756038647,-0.316408069659942,-0.0299145299145299,-0.510204081632653
"Country Club","The Bronx",1,0.0171630948056666,0.0898083930880451,0.102079336592611,0.0798969072164949,-0.266666666666667
"East Harlem","Manhattan",3,0.0263634513634513,0.158394870914191,0.0931668303634068,0.0289017341040462,-0.162393162393162
"East Village","Manhattan",3,0.535769942534333,-0.0793577273429057,-0.171391874535253,0.04421768707483,-0.210526315789474
"Financial District","Manhattan",18,0.0111981225926587,0.161228765219556,0.293022805475697,0.047808764940239,-0.129032258064516
"Flatbush","Brooklyn",1,-0.448926155668464,0.193302634728854,0.101534724738744,0.0613333333333326,-0.264150943396226
"Flushing","Queens",2,-0.0742570092896371,0.075486292799454,-0.0133504701032838,-0.0255164034021871,-0.441176470588235
"Fordham","The Bronx",4,0.156734693877551,0.0574844791906185,0.225325108369456,0.0395348837209303,0.111111111111111
"Forest Hills","Queens",4,0.0131147540983605,0.139986266880293,0.192222317083582,0.0614657210401892,-0.27027027027027
"Fort Green","Brooklyn",18,0.0756976836113527,0.298405524168236,0.212913349024321,0.0307262569832403,-0.26865671641791
"Gramercy","Manhattan",8,-0.0577762593478343,0.149236537521056,0.111502932929661,0.120833333333333,-0.25
"Gravesend-Sheepshead Bay","Brooklyn",14,-0.0993936660653437,0.0809323710640864,0.186872381936075,0.0136789056875444,-0.355742296918768
"Great Kills","Staten Island",2,0.238806385227209,0.128926575448063,0.0971906846129375,0.0485651214128036,-0.404255319148936
"Hamilton Heights","Manhattan",7,-0.00824342890605629,0.246211680812309,0.230457519299119,0.0338541666666668,-0.313432835820896
"Harlem","Manhattan",14,-0.00897169197496362,0.261655857774336,0.196601670062012,0.0261707988980717,-0.24822695035461
"High Bridge","The Bronx",6,-0.174834483483378,0.121433591004919,0.157528252349606,0.0661764705882354,-0.236111111111111
"Hunts Point","The Bronx",3,-0.424636650066064,0.222456022220352,0.0730190925525817,-0.0538116591928251,-0.0188679245283018
"Inwood","Manhattan",6,-0.189214956748209,0.318799173662696,0.357614578678187,0.0260047281323877,-0.580246913580247
"Jackson Heights","Queens",5,-0.11270977666231,0.198141546841831,0.13637216634139,0.0449999999999999,-0.219512195121951
"Jamaica","Queens",6,-0.00909910648413794,0.17201109026241,0.174498727419455,0.00285714285714208,-0.201646090534979
"Lower East Side","Manhattan",7,-0.368563728598605,0.378901933701657,0.396215522771007,-0.00586510263929627,-0.297872340425532
"Mapleton-Flatlands","Brooklyn",13,-0.0299960508919834,0.133774691469075,0.126175153687787,0.0656779661016948,-0.328125
"Middle Village","Queens",1,-0.100176745360434,0.0854817218005909,0.119789788956987,0.0922693266832917,-0.333333333333333
"Midland Beach","Staten Island",3,0.312868880916561,0.0884963660193018,0.069535656339334,0.105911330049261,-0.129032258064516
"Morningside Heights","Manhattan",4,-0.285638837248606,0.0152500722752241,0.0514764878939005,-0.0423452768729642,-0.0857142857142857
"Morris Park","The Bronx",5,-0.184769697769566,0.616125035738111,0.471783835485414,-0.05,-0.461538461538461
"Mott Haven","The Bronx",10,0.113568237090662,0.129402098816148,-0.00368268272605173,0.00595947556615018,-0.0140845070422535
"Murray Hill","Manhattan",4,0.025456173737826,0.175228629782363,0.237301595594612,0.0551181102362206,-0.178571428571429
"Murray Hill","Manhattan",4,0.189462833581491,0.175228629782363,0.237301595594612,0.0551181102362206,-0.178571428571429
"New Brighton","Staten Island",1,0.0859652258278654,0.173392606943315,0.0566008153026027,0.0634547591069331,-0.385542168674699
"Oakwood","Staten Island",2,-0.0105008077544425,0.0259470259470259,0.0417382797006796,-0.0109170305676856,-0.216216216216216
