"neighborhood","borough","population_2017","population_2020","pcinc_change","minc_change","traveltime_change","ur_change"
"Annandale","Staten Island",23671,33247,0.168670411509036,0.222674550095312,0.0327510917030568,-0.464285714285714
"Astoria-Long Island City","Queens",46185,28270,0.192305607702275,0.19869041382923,0.0397553516819581,-0.301587301587301
"Auburndale","Queens",17073,28518,0.0563073429684863,0.016229862947824,-0.00226757369614516,-0.342105263157895
"Baisley Park","Queens",31094,33358,0.203890239666551,0.143573607628296,0.0468085106382979,-0.289855072463768
"Bath Beach","Brooklyn",26855,26443,0.0912099353015542,0.131895678450629,-0.0120481927710842,-0.238095238095238
"Bay Ridge","Brooklyn",65479,66749,0.171096614190209,0.214277845103008,0.0552995391705069,-0.333333333333333
"Baychester","The Bronx",28159,44547,0.129880442934663,0.19081841890466,0.0273684210526315,-0.107692307692308
"Bayside","Queens",37551,28426,0.161236823612087,0.126439592146123,0.0825242718446602,-0.421052631578947
"Bedford Park","The Bronx",42293,42898,0.134865592938614,0.18978687988586,0.11031175059952,-0.263157894736842
"Bedford-Stuyvesant","Brooklyn",54487.5,67306,0.427970670692258,0.389283472223932,0.00844390832328092,-0.421686746987952
"Bellerose","Queens",21707,22120,0.212027123483226,0.269099399599733,0.0421545667447306,-0.147058823529412
"Belmont","The Bronx",22085,27443,0.219561853571138,0.129777166659926,0.143603133159269,0.168831168831169
"Bensonhurst","Brooklyn",63663.5,79197,0.0662152955203543,0.0926038009926159,-0.00655021834061129,-0.226415094339623
"Bloomfield-Chelsea-Travis","Staten Island",33186,34750,0.18047466967249,0.190520604810635,0.113801452784504,-0.222222222222222
"Boerum Hill","Brooklyn",35416,29403,0.315889268107698,0.286444120073618,-0.0573065902578797,-0.126984126984127
"Borough Park","Brooklyn",67904,35046.5,0.103655435473617,0.131393489279809,0.0965417867435157,-0.181818181818182
"Brighton Beach","Brooklyn",28462,25281,0.0655579564747646,0.159668338048685,0.017857142857143,-0.357142857142857
"Brownsville","Brooklyn",45400,38543,0.153059254970083,-0.166911524649037,0.0123711340206186,0.240506329113924
"Bushwick","Brooklyn",54731,46383,0.298560979107903,0.294660047785845,0.0458488228004957,-0.564971751412429
"Cambria Heights","Queens",16620,18050,0.180853758946102,0.223276492082826,0.0416666666666667,-0.13953488372093
"Canarsie","Brooklyn",70724,70482,0.132027917797596,0.152209177199942,0.0182186234817813,-0.410714285714286
"Carroll Gardens","Brooklyn",27794.5,48462,-0.103079489228095,-0.0278533850134169,0.0887573964497042,0.176470588235294
"Charlestown-Richmond Valley","Staten Island",19291,14145,0.229230600613766,0.0489814761382653,0.0875912408759124,-0.432432432432432
"Chinatown","Manhattan",40184,35453,-0.242829766847653,-0.307613115766716,0.0159235668789809,-0.285714285714286
"Clearview","Queens",18858,18766,0.147826292858496,0.116605592550271,0.0365853658536585,-0.257142857142857
"Clifton","Staten Island",17145,11869,-0.167383756038647,-0.316408069659942,-0.0299145299145299,-0.510204081632653
"Clinton Hill","Brooklyn",31989,23057,0.354363514619448,0.257448591326804,-0.0133689839572193,-0.315789473684211
