"nname","count","pop_den_2017","pop_den_2020"
"Annandale",1.0,6198.31460070275,8705.81578849919
"Astoria-Long Island City",11.0,5902.67725296109,3613.04938705662
"Bay Ridge",4.0,12449.4288772667,12690.892165865
"Baychester",2.0,14301.2722381581,22624.3394436318
"Bedford Park",5.0,8918.87181959183,9046.45599311589
"Bedford-Stuyvesant",22.0,5056.12752892577,6245.61081829553
"Bensonhurst",7.0,10923.7036636477,13589.0197530753
"Boerum Hill",5.0,31649.4414149295,26275.9353377901
"Borough Park",11.0,10154.6727483547,5241.01287811046
"Brownsville",9.0,6384.81894258897,5420.48626661248
"Bushwick",19.0,8317.65132295813,7048.97811683995
"Canarsie",2.0,3995.04858451618,3981.37851837947
"Carroll Gardens",6.0,12651.0848429427,22058.2084102498
"Charlestown-Richmond Valley",1.0,3946.82460902093,2893.98341685766
"Chinatown",2.0,121043.312681011,106792.468755721
"Clifton",2.0,3147.3592811581,2178.82807279472
"Country Club",1.0,4666.15049328203,4746.23607657574
"East Harlem",3.0,28024.584864023,28763.4096440666
"East Village",3.0,25162.4161235315,38643.682364061
"Financial District",18.0,27576.9629726696,27885.7731847708
"Flatbush",1.0,36363.4665708846,20038.9553164387
"Flushing",2.0,3917.95981800417,3627.02383940221
"Fordham",4.0,9768.70600522535,11299.8011505341
"Forest Hills",4.0,8404.52515225689,8514.74843294222
"Fort Green",18.0,4340.02297022882,4668.55265589521
"Gramercy",8.0,10502.5332489917,9895.73616418875
"Gravesend-Sheepshead Bay",14.0,2003.60444112135,1804.4588503735
"Great Kills",2.0,5621.84605043982,6964.37878404922
"Hamilton Heights",7.0,18996.0313773945,18839.4389432377
"Harlem",14.0,12647.8768988714,12534.4040431974
"High Bridge",6.0,9433.97162078295,7784.58806526652
"Hunts Point",3.0,4330.13805806812,2491.4027387665
"Inwood",6.0,15419.3393513269,12501.7697228796
"Jackson Heights",5.0,13498.9388707246,11977.476485427
"Jamaica",6.0,2349.04261376448,2327.66842488606
"Lower East Side",7.0,24029.5627570066,15173.1375106901
"Mapleton-Flatlands",13.0,4774.92309301144,4631.69425690817
"Middle Village",1.0,6513.28243031605,5860.80299483368
"Midland Beach",3.0,2625.01677297995,3446.30283312938
"Morningside Heights",4.0,29836.6933878858,21314.174981227
"Morris Park",5.0,6614.82841638151,5392.60856908917
"Mott Haven",10.0,7198.54279506909,8016.06860992678
"Murray Hill",4.0,54737.815144326,65108.5967056298
"Murray Hill",4.0,56004.2266274498,57429.8799505307
"New Brighton",1.0,2111.88248632189,2293.43094118046
"Oakwood",2.0,2225.11366767585,2201.7481768198
"Park Slope",13.0,16768.5488117907,13050.1452032624
"Parkchester",7.0,4891.86331390313,4858.15740956505
"Ridgewood",7.0,10438.5521333856,10464.7116573977
"Soho",6.0,40219.7554155416,22238.3529632771
"Soundview",4.0,6280.75044151736,6921.62222581849
"South Beach",3.0,3169.02216367258,4472.76495483123
"Sunny Side",12.0,7299.65035583413,5449.73018044925
"Sunset Park",6.0,8772.71310651347,6737.65352886196
"The Rockaways",10.0,1115.18218026946,1164.54472605785
"Tremont",6.0,7191.85921117247,4955.98845200402
"Union Port",4.0,5996.85496008742,8295.36516715487
"University Heights",4.0,20802.3635463273,20469.4938378774
"Upper East Side",8.0,11774.5256248588,16582.651425147
"Utopia",4.0,1470.90335898998,1790.59989218518
"Wakefield-Williamsbridge",6.0,5178.81188920799,5662.25430395965
"West Village",3.0,59024.6433014306,29126.5334115496
"Williams Bridge",5.0,15627.771106235,14733.0254432787
"Williamsburg",14.0,3330.93959488829,5186.66024130955
"Woodhaven-Richmond Hill",11.0,6876.96788323234,3559.74566290349
"Woodside",5.0,10340.0170800808,10678.9577955213
