"subway_name","year","train_flow","passenger_flow"
"1 Av",2020,2141,-179824
"1 Av",2017,1980,-330516
"103 St",2017,5940,3038886
"103 St",2020,6583,326803
"103 St - Corona Plaza",2020,2049,510278
"103 St - Corona Plaza",2017,1944,1785036
"104 St",2017,3904,520619
"104 St",2020,4207,290335
"110 St",2017,1984,715076
"110 St",2020,2196,-237556
"111 St",2017,5724,2158785
"111 St",2020,6334,1169885
"116 St",2020,6585,660954
"116 St",2017,5955,4656370
"116 St - Columbia University",2020,2192,406339
"116 St - Columbia University",2017,1973,2043417
"125 St",2017,9920,5402285
"125 St",2020,10977,-220614
"135 St",2020,4392,979207
"135 St",2017,3969,3482709
"137 St - City College",2020,2196,-182481
"137 St - City College",2017,1982,563684
"138 St - Grand Concourse",2020,2184,-13131
"138 St - Grand Concourse",2017,1983,132497
"14 St",2017,5949,2897272
"14 St",2020,6587,-258415
"14 St - Union Sq",2017,7931,4602793
"14 St - Union Sq",2020,8653,-674084
"145 St",2017,5916,2065427
"145 St",2020,6503,-207649
"149 St - Grand Concourse",2017,1984,458650
"149 St - Grand Concourse",2020,2196,-111088
"155 St",2017,3959,713166
"155 St",2020,4382,165678
"157 St",2020,2170,201643
"157 St",2017,1970,1087838
"163 St - Amsterdam Av",2017,1985,618870
"163 St - Amsterdam Av",2020,2196,-60788
"167 St",2020,4332,303063
"167 St",2017,3958,1781378
"168 St",2017,3968,2261160
"168 St",2020,4392,861609
"168 St - Washington Hts",2020,2196,-176380
"168 St - Washington Hts",2017,1984,-14753
"169 St",2020,2195,-79044
"169 St",2017,1972,432497
"170 St",2020,4372,390166
"170 St",2017,3953,1646264
"174-175 Sts",2017,1983,1006690
"174-175 Sts",2020,2194,196529
"174 St",2017,1985,174702
"174 St",2020,2195,-266406
"175 St",2017,1984,1830758
"175 St",2020,2196,495618
"176 St",2020,2182,161748
"176 St",2017,1972,844420
"18 Av",2017,5686,1883788
"18 Av",2020,6449,751361
"18 St",2017,1934,879166
"18 St",2020,2160,176203
"181 St",2017,3906,604758
"181 St",2020,4184,-432358
"182-183 Sts",2017,1971,957635
"182-183 Sts",2020,2194,155552
